"filename", "language", "Dart", "CMake", "C++", "YAML", "Markdown", "Ruby", "Swift", "JSON", "XML", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/start_padding.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/symmetric_padding.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/top_padding.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/padding/vertical_padding.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/text/adaptive_text.dart", "Dart", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 109
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/text/bold_text.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/text/light_text.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/text/medium_text.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/text/regular_text.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/adaptive/text/semi_bold_text.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/check_box.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 53
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_bottom_sheet.dart", "Dart", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 205
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_circulars_progress.dart", "Dart", 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 239
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_dialog.dart", "Dart", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_divider.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_icon.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_rounded_elevated_button.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/custom_switch.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 41
